"V1" "V2" "V3" "V4"
"92" 426.994 0.421424069952639 0.842848139905278 1
"93" 430.65 0.524787108905065 1 1
"94" 436.777 0.462245207820556 0.924490415641112 1
"95" 442.174 0.367985719684062 0.735971439368123 1
"96" 447.654 0.337784679623233 0.675569359246466 1
"97" 453.654 0.334319651474675 0.66863930294935 1
"98" 459.427 0.360131392345873 0.720262784691745 1
"99" 464.367 0.425569344720402 0.851138689440804 1
"100" 469.792 0.418208451790697 0.836416903581395 1
"101" 474.65 0.412944861832063 0.825889723664126 1
"102" 479.521 0.401642166497281 0.803284332994562 1
"103" 485.677 0.375597349315237 0.751194698630474 1
"104" 492.413 0.35646062569209 0.71292125138418 1
"105" 497.128 0.340057764750114 0.680115529500228 1
"106" 502.622 0.320893941906913 0.641787883813827 1
"107" 509.936 0.318260234018346 0.636520468036692 1
"108" 514.09 0.397758980532387 0.795517961064774 1
"109" 517.753 0.335370521226405 0.670741042452809 1
"110" 524.806 0.370243700261680 0.740487400523361 1
"111" 530.352 0.397531985635233 0.795063971270467 1
"112" 535.504 0.371548917543581 0.743097835087163 1
"113" 540.083 0.359818204787479 0.719636409574957 1
"114" 546.699 0.331073324145091 0.662146648290182 1
"115" 553.452 0.32389911585234 0.64779823170468 1
"116" 558.796 0.36222588544208 0.72445177088416 1
"117" 563.964 0.37358065034904 0.74716130069808 1
"118" 568.783 0.398672678876894 0.797345357753789 1
"119" 574.922 0.405667035840257 0.811334071680513 1
"120" 579.395 0.407356649918383 0.814713299836767 1
"121" 584.993 0.458444513035031 0.916889026070062 1
"122" 590.02 0.429039160908091 0.858078321816182 1
"123" 595.733 0.359600400071154 0.719200800142309 1
"124" 600.795 0.434115220938073 0.868230441876146 1
"125" 605.371 0.308382868280198 0.616765736560395 1
"126" 612.669 0.198070714402845 0.396141428805689 0.792282857611379
"127" 621.983 0.159830843096697 0.319661686193394 0.639323372386789
"128" 631.861 0.150001701452679 0.300003402905359 0.600006805810717
"129" 639.207 0.163428093089319 0.326856186178639 0.653712372357278
"130" 644.251 0.16014765774806 0.32029531549612 0.64059063099224
"131" 653.293 0.165106723306702 0.330213446613405 0.66042689322681
"132" 659.074 0.164672175268668 0.329344350537336 0.658688701074671
"133" 670.806 0.16199731730789 0.32399463461578 0.64798926923156
"134" 677.829 0.162469466325168 0.324938932650336 0.649877865300671
"135" 683.871 0.162530377641858 0.325060755283716 0.650121510567432
"136" 694.766 0.155841430224801 0.311682860449602 0.623365720899204
"137" 701.288 0.166415486552768 0.332830973105536 0.665661946211071
"138" 709.845 0.151774168499587 0.303548336999174 0.607096673998349
"139" 716.215 0.166996209570858 0.333992419141717 0.667984838283433
"140" 725.033 0.172733694877145 0.345467389754291 0.690934779508582
"141" 732.565 0.154809164837091 0.309618329674183 0.619236659348365
"142" 741.119 0.150180302778485 0.300360605556971 0.600721211113941
"143" 748.103 0.171769797220244 0.343539594440489 0.687079188880978
"144" 755.598 0.174318686991680 0.348637373983360 0.697274747966719
"145" 763.309 0.164171899761135 0.32834379952227 0.65668759904454
"146" 771.96 0.168028699267364 0.336057398534729 0.672114797069457
"147" 778.038 0.170681750823518 0.341363501647035 0.682727003294071
"148" 785.367 0.172988146464472 0.345976292928945 0.69195258585789
"149" 795.081 0.158292227520906 0.316584455041813 0.633168910083625
"150" 802.805 0.159163499604869 0.318326999209739 0.636653998419478
"151" 808.496 0.153799273746377 0.307598547492755 0.615197094985509
